framework,framework_version,system,model,attn_tp,moe_tp,ep,num_slots,gemm_quant,moe_quant,attn_quant,kv_quant,phase,batch_size,new_tokens,past_kv,layer_type,layer_index,measured_layer_count,layer_multiplier,latency_ms,rms_latency_ms,rms_kernel_count,includes_moe,moe_weight_mode,latency_source,physical_gpus,max_num_seqs,max_num_batched_tokens,vllm_config_hash
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,1,1,16384,dense,0,64,64,6.8627519607543945,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,2,1,1,dense,0,64,64,6.440192222595215,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,2,1,4096,dense,0,64,64,6.609280109405518,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,2,1,8192,dense,0,64,64,6.749536037445068,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,2,1,16384,dense,0,64,64,6.978079795837402,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,4,1,1,dense,0,64,64,6.4692158699035645,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,4,1,4096,dense,0,64,64,6.666175842285156,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,4,1,8192,dense,0,64,64,6.9173760414123535,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,4,1,16384,dense,0,64,64,7.3230719566345215,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,8,1,1,dense,0,64,64,6.505184173583984,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,8,1,4096,dense,0,64,64,6.925951957702637,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,8,1,8192,dense,0,64,64,7.317279815673828,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,8,1,16384,dense,0,64,64,8.05174446105957,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,16,1,1,dense,0,64,64,6.560863971710205,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,16,1,4096,dense,0,64,64,7.388383865356445,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,16,1,8192,dense,0,64,64,8.142463684082031,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,16,1,16384,dense,0,64,64,9.516032218933105,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,32,1,1,dense,0,64,64,6.678719997406006,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,32,1,4096,dense,0,64,64,8.170432090759277,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,32,1,8192,dense,0,64,64,9.581215858459473,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,32,1,16384,dense,0,64,64,12.322175979614258,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,64,1,1,dense,0,64,64,6.8056960105896,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,64,1,4096,dense,0,64,64,9.7991361618042,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,64,1,8192,dense,0,64,64,12.58249568939209,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,64,1,16384,dense,0,64,64,18.203840255737305,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,128,1,1,dense,0,64,64,7.2703680992126465,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,128,1,4096,dense,0,64,64,13.055968284606934,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,8,1,1,,bf16,bf16,bf16,bf16,gen,128,1,8192,dense,0,64,64,18.67807960510254,0.0,0,False,dense,execute_model_gpu,1,128,,4166d029102c3ecd
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,0,dense,0,64,64,25.94087999932526,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,0,dense,0,64,64,28.669534999608004,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,0,dense,0,64,64,98.8225599985526,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,0,dense,0,64,64,208.60700649973296,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,16,dense,0,64,64,26.540570750512416,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,16,dense,0,64,64,27.864333000252373,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,16,dense,0,64,64,99.64430649961287,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,16,dense,0,64,64,207.25822799977323,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,128,dense,0,64,64,28.97052674961742,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,128,dense,0,64,64,27.866974750395457,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,128,dense,0,64,64,105.94235749886138,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,128,dense,0,64,64,213.06977849963005,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,256,dense,0,64,64,36.37770424938935,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,256,dense,0,64,64,28.703240000140795,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,256,dense,0,64,64,103.92405249967851,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,256,dense,0,64,64,210.60847650096548,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,512,dense,0,64,64,57.00862074991164,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,128,512,dense,0,64,64,28.931596250004077,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,1024,512,dense,0,64,64,103.6324192500615,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,2048,512,dense,0,64,64,214.83477000037965,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
vLLM,0.20.1,h100_sxm,Qwen/Qwen3-32B,1,1,1,,bf16,bf16,bf16,bf16,ctx,1,1,1024,dense,0,64,64,124.42658224972547,0.0,0,False,dense,schedule_to_update,1,,2048,f72d8260480b6026
